Systematic || Standard	cbf1_dmet6_t0	cbf1_dmet6_t2.5	cbf1_dmet6_t5	cbf1_dmet6_t15	cbf1_dmet6_t30	cbf1_dmet6_t45	cbf1_dmet6_t60	cbf1_dmet6_t90	met31_dmet6_t0	met31_dmet6_t2.5	met31_dmet6_t5	met31_dmet6_t15	met31_dmet6_t30	met31_dmet6_t45	met31_dmet6_t60	met31_dmet6_t90	met32_dmet6_t0	met32_dmet6_t2.5	met32_dmet6_t5	met32_dmet6_t15	met32_dmet6_t30	met32_dmet6_t45	met32_dmet6_t60	met32_dmet6_t90	met28_dmet6_t0	met28_dmet6_t2.5	met28_dmet6_t5	met28_dmet6_t15	met28_dmet6_t30	met28_dmet6_t45	met28_dmet6_t60	met28_dmet6_t90	met4_dmet6_t0	met4_dmet6_t2.5	met4_dmet6_t5	met4_dmet6_t15	met4_dmet6_t30	met4_dmet6_t45	met4_dmet6_t60	met4_dmet6_t90	wt_dmet6_t0	wt_dmet6_t2.5	wt_dmet6_t5	wt_dmet6_t15	wt_dmet6_t30	wt_dmet6_t45	wt_dmet6_t60	wt_dmet6_t90
YDL022W || GPD1	0	-0.075757	0.036448	-0.073123	-0.24896	-0.605515	-0.833459	-1.116708	0	-0.137829	-0.033135	-0.162556	-0.220657	-0.191806	-0.180678	-0.336861	0	-0.056229	0.025435	0.13785	0.041487	0.029702	0.037292	0.114119	0	0.099641	0.142459	0.064251	0.188607	0.169388	0.066501	0.012004	0	0.02114	0.062648	0.022248	-0.289501	-0.835181	-1.131875	-1.299666	0	0	0	0	0	0	0	0
YER145C || FTR1	0	-0.118864	-0.263209	-0.549544	-0.622096	-1.106386	-1.423583	-1.373641	0	-0.039439	-0.224148	-0.208013	-0.163768	-0.196385	-0.322763	-0.55014	0	0.147231	0.092537	0.015737	-0.075068	-0.143815	-0.16933	-0.039817	0	0.120979	0.038385	0.099593	0.160477	-0.017193	-0.017887	-0.016567	0	-0.068652	-0.082142	-0.098601	-0.464175	-0.874431	-1.265157	-1.641145	0	0	0	0	0	0	0	0
YHL035C || VMR1	0	-0.027341	-0.096302	-0.297105	-0.29262	-0.80719	-1.116711	-1.077306	0	0.178822	0.152405	0.123811	0.123888	0.204896	0.090585	-0.064201	0	0.086977	0.032148	-0.123526	-0.051784	-0.073719	-0.08938	-0.181046	0	0.093464	0.10797	0.133053	-0.053314	-0.083388	-0.120752	-0.167908	0	0.003856	-0.013144	-0.154518	-0.112057	-0.282009	-0.444022	-0.961647	0	0	0	0	0	0	0	0
YER175C || TMT1	0	0.010672	-0.047572	-0.162005	-0.435588	-0.907081	-1.069747	-0.989859	0	0.022988	0.042614	0.145465	0.131743	0.116593	-0.054706	-0.245477	0	-0.006485	0.002896	0.008431	-0.133024	-0.282845	-0.302878	-0.421288	0	-0.040427	-0.076384	0.028929	-0.05783	-0.093586	-0.110631	-0.125462	0	0.031693	-0.088618	-0.039823	-0.129196	-0.414007	-0.88479	-1.190363	0	0	0	0	0	0	0	0
YLR205C || HMX1	0	0.080623	-0.177111	-0.233211	-0.419863	-0.891251	-1.236279	-1.027168	0	-0.069301	0.002005	0.118434	0.060891	0.000883	-0.12103	-0.252392	0	-0.353941	-0.170118	-0.372966	-0.410826	-0.426395	-0.37679	-0.358518	0	0.035652	0.228067	0.071534	-0.008454	-0.129862	-0.192348	-0.346151	0	0.068012	0.096105	-0.065232	-0.270309	-0.907526	-1.254138	-1.83505	0	0	0	0	0	0	0	0
YJL151C || SNA3	0	-0.044961	-0.140806	-0.165133	-0.364032	-0.502479	-0.534492	-0.569426	0	-0.006112	0.017657	0.031428	0.058611	0.034812	0.080192	0.038895	0	0.056417	0.077229	-0.200713	-0.055632	-0.036872	-0.055534	-0.122517	0	-0.071952	-0.081837	-0.15269	-0.104953	-0.023519	0.035059	0.044395	0	-0.105303	-0.144381	-0.164557	-0.191556	-0.227168	-0.421334	-0.808522	0	0	0	0	0	0	0	0
YHR071W || PCL5	0	0.061597	0.09914	-0.549225	-0.75491	-1.090588	-1.161481	-0.833133	0	-0.093611	0.003359	0.109723	0.022642	0.021601	-0.132631	-0.074598	0	0.106394	0.258218	-0.187481	0.014952	-0.028057	-0.106606	-0.106378	0	0.032582	0.08016	-0.106485	-0.266295	-0.404947	-0.335626	-0.441382	0	0.094242	0.137016	0.087996	-0.29574	-0.634031	-1.00089	-1.208347	0	0	0	0	0	0	0	0
YIL117C || PRM5	0	-0.071517	-0.184838	-0.414425	-0.467254	-0.661455	-0.667106	-0.547539	0	0.09055	0.051682	-0.056452	-0.052584	0.065467	0.014651	0.203289	0	0.096743	0.068071	-0.016005	-0.18502	-0.160022	-0.24217	-0.29481	0	0.17483	0.140659	0.034863	0.030855	-0.108085	-0.119252	-0.189406	0	-0.026991	-0.041974	-0.209549	-0.34	-0.49229	-0.544479	-0.606459	0	0	0	0	0	0	0	0
YIL169C || YIL169C	0	0.077867	0.078448	-0.045672	0.080095	0.090767	-0.191567	-0.820549	0	0.569351	0.353293	0.365418	0.369609	0.210394	0.184832	0.104222	0	-0.062561	0.007435	-0.086928	-0.05316	-0.123472	-0.06302	-0.058755	0	0.030907	0.037285	0.224139	0.194409	-0.183051	-0.163989	-0.386557	0	-0.068675	0.039732	-0.114195	-0.565058	-1.078211	-1.314554	-1.089101	0	0	0	0	0	0	0	0
YJL159W || HSP150	0	0.039659	0.233637	0.005582	0.025212	-0.054552	-0.247056	-0.182687	0	0.219404	-0.035945	-0.000107	-0.049433	-0.024641	-0.087832	-0.060576	0	-0.039333	0.003644	0.129845	-0.108992	-0.123166	-0.107101	-0.051887	0	0.0536	0.11002	0.05805	0.059748	-0.130505	-0.069328	0.046049	0	-0.014202	0.055986	0.019615	-0.239288	-0.367	-0.517221	-0.654543	0	0	0	0	0	0	0	0
YJL079C || PRY1	0	0.05921	0.165401	0.000882	-0.120966	-0.206775	-0.491247	-0.728587	0	0.280759	0.031969	0.097129	0.114202	-0.038716	-0.048001	-0.065875	0	-0.242097	-0.119926	0.352857	-0.169348	-0.175449	-0.093222	-0.000583	0	-0.040763	0.059387	0.043851	-0.048908	-0.088391	0.107772	0.123182	0	0.046614	0.070185	-0.12542	-0.570339	-1.000462	-1.165611	-0.869501	0	0	0	0	0	0	0	0
YER176W || ECM32	0	-0.046608	-0.102627	-0.314928	-0.327626	-0.432128	-0.47646	-0.265161	0	0.213196	0.228454	0.083135	0.083664	0.096971	0.046206	-0.01001	0	0.107752	0.046113	0.090341	-0.171805	-0.132332	-0.198846	-0.22358	0	0.12523	0.140401	0.193639	-0.063557	0.012535	-0.056821	-0.02672	0	0.074439	0.157047	-0.073531	-0.320516	-0.743426	-1.005588	-1.204599	0	0	0	0	0	0	0	0
YLR214W || FRE1	0	-0.083154	-0.232738	-0.315433	-0.431163	-0.686005	-0.854005	-0.586718	0	0.072942	-0.126325	0.056198	0.044245	0.087869	-0.205312	-0.517416	0	0.292511	0.159329	-0.032687	-0.012784	-0.048755	-0.088709	-0.085914	0	0.116016	-0.034807	0.212593	0.006887	-0.027174	-0.199723	-0.132553	0	-0.064911	-0.191658	-0.151334	-0.682073	-1.052896	-1.551165	-1.838989	0	0	0	0	0	0	0	0
YKL220C || FRE2	0	-0.090983	-0.01623	-0.289708	-0.325991	-0.334462	-0.362176	-0.430448	0	0.03742	-0.046716	-0.023813	0.030638	0.028889	-0.046592	-0.22548	0	0.19983	0.087585	0.130348	0.016032	0.058048	-0.040454	-0.049976	0	0.058955	0.00902	0.05546	0.077392	0.039781	0.062439	0.041681	0	-0.049098	-0.138968	-0.354085	-0.767111	-0.854147	-1.035453	-1.376175	0	0	0	0	0	0	0	0
YKR052C || MRS4	0	-0.066313	-0.120581	-0.129945	-0.152555	-0.32032	-0.358655	-0.386103	0	0.045681	-0.02537	0.002383	-0.022391	0.024775	-0.119507	-0.187726	0	0.196628	0.127764	0.202896	0.0497	0.02066	-0.016456	-0.058612	0	0.177985	0.010984	0.079039	0.071279	0.020408	0.044094	-0.101192	0	-0.086983	-0.287962	-0.254193	-0.494708	-0.752295	-0.959064	-1.00348	0	0	0	0	0	0	0	0
YGL146C || RRT6	0	-0.08007	0.106359	-0.003104	-0.232338	-0.37471	-0.416937	-0.419943	0	0.108356	0.189292	0.195207	0.13007	0.227095	0.164902	-0.044433	0	0.154775	0.173702	-0.047023	-0.056792	-0.114207	-0.13062	-0.139112	0	0.018413	-0.009845	0.026411	-0.074656	-0.082168	-0.32042	-0.145946	0	0.007446	-0.145669	-0.320195	-0.781626	-1.235164	-1.632522	-1.851574	0	0	0	0	0	0	0	0
YIL119C || RPI1	0	0.080746	0.126707	-0.446548	-0.436207	-0.517099	-0.725513	-0.658425	0	0.084694	0.054951	-0.161219	-0.167057	-0.098589	-0.084469	-0.223071	0	0.306082	0.368331	-0.286693	0.102598	0.025876	-0.056648	0.014741	0	0.30029	0.154314	0.077727	0.201406	-0.006614	0.073366	0.147626	0	0.053752	-0.036225	-0.083879	-0.834522	-1.400026	-1.464224	-1.330538	0	0	0	0	0	0	0	0
YEL046C || GLY1	0	-0.155157	-0.080943	-0.408926	-0.417207	-0.456125	-0.539771	-0.613337	0	0.270186	-0.057411	0.025203	0.051292	0.054117	-0.001355	-0.035902	0	0.211513	0.196173	-0.071394	0.026738	-0.032679	-0.127025	-0.169326	0	0.105426	0.046307	0.219568	0.169061	0.105141	0.0643	0.027969	0	-0.018625	-0.119699	0.022165	-0.444739	-0.668128	-1.159036	-1.299401	0	0	0	0	0	0	0	0
YJL116C || NCA3	0	-0.013085	0.133135	-0.378372	-0.846907	-0.761025	-0.892285	-1.199794	0	0.147812	-0.025026	0.035998	-0.020606	0.006147	-0.063539	-0.012141	0	0.157514	0.244158	0.337448	-0.07188	-0.066516	-0.08893	0.019909	0	0.14876	0.20158	0.165195	0.045982	0.010802	0.027501	0.003993	0	-0.051269	-0.02814	-0.054745	-0.740119	-1.43374	-1.911082	-1.539902	0	0	0	0	0	0	0	0
YML123C || PHO84	0	0.02755	-0.012525	0.031979	-0.052208	-0.222669	-0.458424	-0.864277	0	0.085509	-0.018377	-0.048453	-0.031315	-0.031083	-0.032764	0.144954	0	0.182062	0.12655	-0.001297	0.162399	0.221025	0.04913	0.102534	0	0.087459	-0.062912	0.206452	0.155127	0.178182	0.139283	0.029892	0	-0.019826	-0.144925	-0.235903	-0.285921	-0.645712	-0.935666	-0.703213	0	0	0	0	0	0	0	0
YGR060W || ERG25	0	0.054902	0.156193	0.032713	0.093417	-0.171996	-0.384786	-0.729422	0	0.129094	0.059603	0.127197	-0.019961	-0.053187	-0.148458	-0.215737	0	0.239308	0.194948	-0.120688	0.131183	0.170093	-0.001977	-0.080356	0	0.139831	0.232422	0.255972	0.20935	-0.011401	0.009475	-0.165579	0	-0.075076	-0.104108	-0.032531	-0.382399	-1.00126	-1.542229	-1.278779	0	0	0	0	0	0	0	0
YJL045W || YJL045W	0	0.059524	0.214476	-0.042772	-0.049147	-0.459306	-0.978154	-1.254831	0	0.00054	0.10696	-0.164791	-0.177731	-0.255453	-0.403003	-0.334308	0	-0.049932	0.043841	-0.071949	-0.105735	0.041805	0.175223	0.38514	0	0.025749	0.211437	0.202251	0.121973	-0.114639	-0.286716	-0.189852	0	0.048729	0.121273	0.066016	-0.822944	-1.642354	-2.015588	-1.5045	0	0	0	0	0	0	0	0
YBR066C || NRG2	0	0.289459	0.268684	-0.009277	-0.240556	-0.434675	-0.527244	-0.714108	0	-0.00006	0.131618	-0.041344	-0.11942	-0.191064	-0.13223	-0.192493	0	-0.225884	-0.129854	0.086632	0.105676	0.252956	0.320874	0.471196	0	0.204886	0.184329	0.030468	0.210612	0.202484	0.167405	0.198217	0	0.038246	0.043427	-0.149752	-0.328776	-0.776707	-0.753864	-0.556258	0	0	0	0	0	0	0	0
YER062C || HOR2	0	0.126731	0.105318	-0.029967	-0.42017	-0.67401	-0.807369	-1.146119	0	0.000337	-0.115167	-0.122183	-0.101073	-0.099849	-0.02124	0.200386	0	-0.072237	-0.041629	-0.166209	-0.02771	-0.104283	-0.025168	-0.082095	0	0.083652	0.100137	0.275407	0.397728	0.290606	0.461367	0.487469	0	-0.075147	-0.033103	-0.183271	-0.353581	-0.559721	-0.65273	-0.623425	0	0	0	0	0	0	0	0
YMR251W-A || HOR7	0	0.164088	0.102195	-0.032792	-0.122417	-0.424883	-0.807861	-1.02768	0	0.128361	0.31425	0.016134	0.189566	0.053284	0.194196	0.257838	0	-0.194832	-0.005136	0.054998	-0.226751	0.018816	0.115729	0.037508	0	0.248529	0.267807	0.103104	0.029907	0.23441	0.284877	0.124025	0	0.096189	0.287383	-0.07781	-0.409388	-0.74835	-0.911932	-1.026996	0	0	0	0	0	0	0	0
YLL052C || AQY2	0	-0.131904	-0.218918	-0.468972	-0.791881	-0.697821	-0.700623	-0.757663	0	-0.062465	-0.082299	-0.169872	-0.147757	-0.079581	-0.027084	-0.037316	0	0.110286	0.086785	0.050312	0.387155	0.471498	0.449282	0.46887	0	-0.025193	-0.186779	-0.129334	-0.183162	-0.27508	-0.254424	-0.22654	0	-0.018438	-0.069177	-0.00002	-0.296253	-0.70483	-0.96958	-1.132168	0	0	0	0	0	0	0	0
YJL144W || YJL144W	0	0.098567	0.211749	-0.100886	0.025829	-0.285104	-0.566461	-0.631933	0	0.045857	0.05099	-0.042064	-0.104319	-0.143087	-0.132022	-0.247904	0	-0.18103	-0.106995	0.252407	0.063462	0.190731	0.239295	0.181546	0	0.099644	0.08814	-0.06202	-0.052717	-0.097824	-0.210924	-0.299414	0	-0.042428	-0.040278	-0.087973	-0.115962	-0.476715	-0.655691	-0.952985	0	0	0	0	0	0	0	0
YPR151C || SUE1	0	-0.132935	-0.079103	-0.254068	-0.161057	-0.541346	-0.531671	-0.717077	0	-0.124905	-0.071476	-0.165217	-0.186587	-0.242501	-0.231386	-0.503427	0	0.047737	-0.077221	0.129585	0.017522	0.233742	0.259951	0.179204	0	-0.001039	0.060298	-0.080182	-0.029875	-0.179424	-0.368176	-0.568951	0	-0.106121	-0.158322	-0.328465	-0.34961	-0.654236	-0.700062	-0.850381	0	0	0	0	0	0	0	0
YIL136W || OM45	0	-0.085012	0.214892	-0.256617	-0.369885	-0.73066	-0.860698	-1.260824	0	0.107228	0.065164	-0.138368	-0.374508	-0.327418	-0.478728	-0.672838	0	0.425211	0.206902	0.050709	0.034864	0.161445	-0.03904	-0.138793	0	0.13349	0.233168	0.076605	-0.126451	-0.231592	-0.452576	-0.623512	0	-0.062485	-0.263008	-0.033391	-0.492485	-0.661215	-1.111356	-1.13176	0	0	0	0	0	0	0	0
YLR164W || YLR164W	0	-0.027898	0.027636	-0.061023	-0.042173	-0.266948	-0.390608	-0.814171	0	-0.057455	-0.037799	-0.156785	-0.084488	-0.134812	-0.207402	-0.543638	0	0.195311	0.057129	0.21603	-0.143929	0.022438	-0.012425	-0.221204	0	-0.026694	-0.005126	-0.24152	-0.400289	-0.461851	-0.575786	-0.721597	0	-0.043848	-0.158189	-0.070771	-0.306438	-0.622398	-1.059735	-1.450551	0	0	0	0	0	0	0	0
YDL024C || DIA3	0	-0.054224	0.052466	-0.126077	-0.162539	-0.337245	-0.466327	-0.664718	0	-0.098152	-0.141098	-0.248121	-0.238398	-0.457404	-0.49912	-0.612534	0	0.329245	0.313563	-0.141503	0.275625	0.136926	-0.128653	-0.170265	0	0.051881	0.062474	-0.15902	-0.073718	-0.309899	-0.244728	-0.305805	0	-0.111021	-0.179616	-0.093062	-0.066051	-0.161003	-0.517	-0.855969	0	0	0	0	0	0	0	0
YNL237W || YTP1	0	-0.042735	0.074096	0.00572	-0.046347	-0.49468	-0.580176	-0.833575	0	0.022229	-0.098112	-0.277221	-0.26636	-0.399963	-0.539679	-0.70411	0	0.112786	0.11867	0.114601	0.223753	0.236198	0.273253	0.351035	0	0.039743	0.045711	0.197262	0.151083	-0.003655	0.00584	0.105387	0	-0.077306	-0.127642	-0.12046	-0.160143	-0.245879	-0.484837	-0.906717	0	0	0	0	0	0	0	0
YLR058C || SHM2	0	-0.058131	0.016544	-0.073058	-0.058848	-0.132015	-0.411483	-0.477079	0	0.303089	0.013557	-0.065463	0.049414	0.233235	0.190424	0.198235	0	0.14444	0.007439	0.39342	0.026084	0.164337	0.177575	-0.01993	0	-0.023238	-0.072167	0.059189	-0.255326	-0.363884	-0.532645	-0.554341	0	-0.125344	-0.166702	-0.285769	-0.504233	-0.711437	-0.961536	-1.063899	0	0	0	0	0	0	0	0
YMR095C || SNO1	0	-0.128013	-0.179326	-0.170215	-0.4455	-0.545651	-0.615041	-0.466413	0	0.253117	0.325507	0.39264	0.384836	0.339961	0.416933	0.242325	0	0.154632	0.142673	0.221272	0.056685	-0.100365	-0.127769	-0.147133	0	-0.091515	-0.255781	-0.11729	-0.136173	-0.220883	-0.627141	-0.450979	0	0.104256	-0.045446	-0.189567	-0.296912	-0.598104	-1.111662	-1.643546	0	0	0	0	0	0	0	0
YOR186W || YOR186W	0	-0.072084	0.121764	-0.080172	-0.172453	-0.343553	-0.468587	-0.351529	0	0.284984	0.400254	0.263693	0.295817	0.181072	0.165223	-0.169341	0	0.185262	0.037582	0.303633	-0.037342	0.000639	-0.004764	-0.195315	0	-0.019666	-0.14002	-0.243537	-0.281825	-0.23406	-0.199549	-0.161776	0	0.03263	0.007591	0.011558	-0.188562	-0.549438	-0.958958	-1.415441	0	0	0	0	0	0	0	0
YLR377C || FBP1	0	-0.112675	-0.264837	-0.295227	-0.225915	-0.281439	-0.196753	-0.285585	0	0.08964	0.180005	-0.033931	0.252231	0.029289	0.162821	0.065229	0	0.099086	-0.08383	-0.370898	-0.101012	-0.154933	-0.147719	-0.098833	0	-0.168881	-0.265709	-0.157019	-0.126437	-0.157477	-0.2651	-0.295648	0	-0.222738	-0.315127	-0.480961	-0.321146	-0.572583	-0.778554	-1.004783	0	0	0	0	0	0	0	0
YHR216W || IMD2	0	0.063773	0.20673	-0.082389	-0.462939	-0.557488	-0.469262	-0.044915	0	0.121714	0.082116	0.071195	0	0	0	0	0	0.303264	0.375266	0.225837	-0.250019	-0.195785	-0.144532	-0.212334	0	0.09858	0.02991	-0.104759	-0.455695	-0.657991	-1.026519	-0.778627	0	-0.079816	-0.254448	-0.399035	-0.682334	-0.76685	-0.863385	-0.863385	0	0	0	0	0	0	0	0
YBR012C || YBR012C	0	0.00245	-0.032017	-0.093608	-0.363357	-0.519552	-0.673159	-0.465137	0	0.296394	0.25955	0.433164	0.468381	0.270485	0.333245	0.300615	0	-0.162962	-0.243835	0.269359	-0.203867	-0.306951	-0.249385	-0.264295	0	-0.182562	-0.266658	-0.271229	-0.312978	-0.318243	-0.521592	-0.623693	0	-0.030316	-0.102278	-0.105191	-0.199507	-0.528699	-0.679665	-0.848757	0	0	0	0	0	0	0	0
YGR065C || VHT1	0	-0.111271	-0.380017	-0.417927	-0.732493	-1.034847	-1.150772	-1.192505	0	0.078439	-0.096021	0.278287	0.443824	0.528549	0.484757	0.46057	0	0.161143	0.02743	-0.111678	-0.567964	-0.81543	-0.948837	-1.003402	0	0.042015	-0.11797	-0.27373	-0.643908	-0.768022	-0.83906	-0.881296	0	0.016596	-0.122987	-0.149855	-0.604987	-0.921166	-1.247844	-1.2005	0	0	0	0	0	0	0	0
YFR034C || PHO4	0	-0.137833	-0.069141	-0.189377	-0.329778	-0.576365	-1.088607	-0.967987	0	0.604726	0.494634	0.647062	0.295372	0.053791	-0.011267	-0.137766	0	-0.048863	0.028254	-0.130016	-0.290884	-0.579716	-0.770717	-0.78614	0	0.154345	-0.107424	-0.210668	-0.59439	-0.704655	-0.981881	-1.016488	0	-0.092551	0.068035	-0.048943	-0.333704	-0.665038	-0.970853	-1.020218	0	0	0	0	0	0	0	0
YLR327C || TMA10	0	0.039763	-0.098177	-0.421202	-1.063618	-1.580467	-1.586175	-2.236568	0	0.145523	0.175056	0.024083	-0.006493	-0.205668	-0.21339	-0.12152	0	-0.1199	-0.045401	-0.446135	-0.261564	-0.353756	-0.358545	-0.335851	0	0.084466	-0.090436	-0.655633	-1.172629	-1.437709	-1.629438	-1.832551	0	-0.001678	-0.047944	-0.042114	-0.429568	-1.469418	-1.715402	-1.547377	0	0	0	0	0	0	0	0
YKL217W || JEN1	0	-0.070572	-0.153417	-0.252009	-0.48465	-0.559995	-0.608166	-0.677115	0	0.105397	0.216153	0.158945	0.187192	0.163868	0.178249	0.135486	0	0.164768	0.092374	-0.139911	0.074419	0.037923	-0.065945	0.028205	0	-0.071022	-0.158175	-0.297261	-0.502408	-0.580262	-0.577191	-0.59826	0	0.001595	0.004558	-0.262753	-0.389741	-0.683817	-0.777028	-0.999415	0	0	0	0	0	0	0	0
YIL168W || YIL168W	0	-0.134728	-0.075272	-0.280151	-0.146786	-0.132297	-0.355439	-0.287993	0	0.367778	0.381579	0.202524	0.290776	0.384327	0.41461	0.307227	0	0.111061	0.129963	-0.648184	-0.270464	-0.240986	-0.116729	-0.155604	0	0.040522	-0.137095	-0.013694	-0.304026	-0.490049	-0.660182	-0.67145	0	-0.093584	-0.093575	-0.552847	-0.525889	-0.733628	-0.667434	-0.297665	0	0	0	0	0	0	0	0
YDR256C || CTA1	0	-0.03779	-0.108934	-0.136462	-0.025542	-0.366172	-0.626871	-0.123584	0	0.327179	0.33254	0.428504	0.357304	0.478704	0.44971	0.498473	0	0.027374	-0.113663	0.07353	0.152032	-0.039678	-0.103884	-0.103611	0	0.091411	-0.081063	0.025603	-0.072729	-0.168573	-1.044994	-0.294143	0	0.013558	-0.065098	-0.3925	-0.237819	-0.83367	-1.0084	-0.519837	0	0	0	0	0	0	0	0
YKL060C || FBA1	0	0.217453	0.067906	-0.023602	0.134819	-0.459701	-0.642716	-0.8967	0	0.237065	0.356424	0.340915	0.232571	0.132618	0.044388	0.14963	0	0.001085	-0.091879	0.213304	-0.012551	-0.108869	-0.178165	-0.329592	0	0.164572	0.170052	0.026259	-0.072384	-0.254145	-0.442981	-0.51974	0	-0.018924	-0.022404	0.048765	0.072551	-0.089599	-0.25071	-0.480071	0	0	0	0	0	0	0	0
YAL038W || CDC19	0	0.171812	0.342068	0.263939	-0.024622	-0.344636	-0.839246	-1.029619	0	0.134735	0.333156	0.356547	0.268057	0.175671	-0.041957	0.038255	0	0.038061	0.270726	0.382816	0.041557	-0.051689	-0.065425	-0.349087	0	0.222161	0.464428	0.333157	0.08601	-0.190821	-0.309314	-0.250605	0	0.048245	0.074459	0.327088	0.099963	-0.220859	-0.543732	-1.082893	0	0	0	0	0	0	0	0
YJR009C || TDH2	0	0.035608	0.068247	-0.106216	-0.631917	-0.962488	-1.145188	-1.141856	0	0.063656	0.277447	0.348503	0.358169	0.07356	0.255747	0.171382	0	-0.032904	-0.015712	0.471295	0.040953	0.073704	0.088254	-0.112632	0	0.104554	0.11039	0.037774	-0.037306	-0.117601	-0.148736	-0.357355	0	0.096413	0.143876	0.187493	-0.096569	-0.378685	-0.658305	-1.115613	0	0	0	0	0	0	0	0
YGR192C || TDH3	0	0.091261	0.07721	0.001456	-0.201544	-0.432767	-0.636906	-0.738981	0	-0.0245	0.2064	0.192415	0.14015	-0.095561	0.098396	0.069156	0	-0.021379	-0.060063	0.364926	-0.006878	0.036412	0.094401	0.01327	0	0.071483	-0.044882	-0.002857	-0.046941	-0.30593	-0.277533	-0.476899	0	-0.028229	0.096108	0.076521	0.002299	-0.23026	-0.385746	-0.804672	0	0	0	0	0	0	0	0
YPL177C || CUP9	0	0.139686	0.116989	-0.01397	0.117519	-0.108268	-0.373686	-0.239963	0	0.098533	0.02226	0.211469	0.157182	0.110133	0.09506	0.153783	0	-0.076232	-0.014527	0.327457	0.191203	0.156245	0.170337	0.101731	0	0.02497	0.088067	-0.06401	-0.056821	0.035712	-0.049412	-0.173077	0	-0.012715	-0.003421	0.070626	-0.173943	-0.2872	-0.387009	-0.325205	0	0	0	0	0	0	0	0
YJL052W || TDH1	0	0.168557	0.304006	-0.008077	0.126979	-0.261747	-0.584095	-1.112966	0	0.054942	0.080009	0.068309	0.155553	0.108348	0.115265	-0.123314	0	0.298983	0.222845	0.183703	0.26392	0.460554	0.32701	0.379199	0	0.024815	0.177809	-0.085054	-0.037379	-0.214926	-0.446821	-0.479379	0	0.0373	0.015388	-0.011768	-0.250778	-0.331931	-0.556756	-0.681481	0	0	0	0	0	0	0	0
YPR127W || YPR127W	0	0.009852	0.12263	0.107643	0.150063	-0.063226	-0.290161	-0.389946	0	-0.106293	0.068897	0.137037	0.09976	0.132702	0.095384	0.110677	0	0.143112	0.16278	0.134227	0.308675	0.331295	0.198134	0.079822	0	0.079976	0.112174	0.021057	0.045102	-0.033577	-0.045874	-0.220721	0	0.01232	-0.042655	-0.025445	-0.122793	-0.250758	-0.43664	-0.500829	0	0	0	0	0	0	0	0
YHR097C || YHR097C	0	0.138241	0.208066	-0.198955	-0.229188	-0.384569	-0.379677	-0.44275	0	0.136952	0.212008	0.09944	0.064471	0.132317	0.209475	0.24365	0	0.009787	0.090419	0.046359	-0.074955	0.031571	0.022206	0.13833	0	0.246523	0.337521	0.049514	0.009678	-0.084924	-0.125812	-0.114432	0	-0.011854	0.148761	-0.083595	-0.055734	-0.293962	-0.228718	-0.193901	0	0	0	0	0	0	0	0
YMR291W || TDA1	0	0.155477	0.370511	0.13706	-0.040999	-0.340655	-0.351433	-0.18609	0	0.287512	0.480175	0.210094	0.077227	0.192598	0.110389	0.179887	0	0.258404	0.203344	0.070145	-0.004657	-0.060608	-0.024141	-0.124431	0	0.512196	0.487063	0.342615	0.065911	-0.115502	-0.130575	-0.145317	0	0.030773	-0.051049	0.023977	-0.040314	-0.308702	-0.324594	-0.139757	0	0	0	0	0	0	0	0
YGL180W || ATG1	0	0.181824	0.358312	0.1962	-0.010165	-0.517083	-0.930204	-0.885744	0	1.031817	0.91283	0.921212	0.635687	0.503177	0.4649	0.36285	0	0.046884	0.362304	-0.206681	0.001957	-0.215078	-0.331984	-0.439192	0	0.210791	0.367102	0.08993	-0.133205	-0.615819	-0.507553	-0.599366	0	0.009321	0.122276	-0.068925	-0.41227	-0.684801	-0.710184	-0.810125	0	0	0	0	0	0	0	0
YHR094C || HXT1	0	-0.058864	-0.097615	-0.841094	-0.787717	-0.216778	-0.066617	0.078291	0	-0.119333	-0.067193	-0.530861	-0.663246	-0.669334	-0.774034	-0.799967	0	0.058654	0.066747	0.148453	0.252668	0.212049	0.084803	0.04713	0	-0.002818	-0.049172	-0.262505	-0.332292	-0.33426	-0.351124	-0.280103	0	-0.010276	0.029648	0.164995	-0.450604	-1.121887	-1.632787	-1.659213	0	0	0	0	0	0	0	0
YMR118C || YMR118C	0	-0.150308	-0.285147	-0.175342	-0.08576	-0.16001	-0.127943	-0.053604	0	-0.137227	-0.095249	-0.201714	-0.267173	-0.205313	-0.189049	-0.309938	0	0.240982	0.135793	0.341744	0.159846	0.161671	0.051153	-0.121037	0	-0.015255	-0.195308	-0.220436	-0.161977	-0.216772	-0.175105	-0.057233	0	0.017358	-0.043353	0.018271	0.174177	-0.389389	-0.454512	-1.035422	0	0	0	0	0	0	0	0
YPL111W || CAR1	0	0.031156	-0.026972	-0.331167	-0.311223	-0.33157	-0.290157	-0.130831	0	-0.177573	-0.297547	-0.389241	-0.435881	-0.357084	-0.406803	-0.339735	0	0.075384	0.029473	0.036864	-0.321848	-0.287931	-0.241257	-0.252907	0	0.143573	0.082694	-0.04312	0.034217	-0.024911	0.000594	-0.035519	0	-0.049843	0.247163	-0.172587	-0.425661	-0.594614	-0.72976	-0.597864	0	0	0	0	0	0	0	0
